StoreNumber,ItemCode,TxnTime,SaleFlag,Quantity,Ignore1,Amount,Ignore3,Ignore4,Ignore5,Ignore6,Ignore7,SegmentCode
108,5000035603,09-05-2013 00:40,N,1,0,6.99,810213,842650,6.99,N,N,126
108,1600048366,09-05-2013 00:40,N,1,0,4.99,810213,511258,4.99,N,N,129
108,7349151000,09-05-2013 00:40,Y,1,0,2.5,810213,15050,3.69,Y,N,769
108,7078402300,09-05-2013 00:40,Y,6,0,5.28,810213,899074,6.54,Y,N,778
108,7078402134,09-05-2013 00:40,N,1,0,2.49,810213,15083,2.49,N,N,733
108,73951090000,09-05-2013 01:08,Y,1,0,1.5,810001,267017,1.69,Y,N,1292
108,4000046408,09-05-2013 01:08,Y,1,0,1,820001,833201,1.69,Y,N,3219
108,4400003211,09-05-2013 01:08,Y,1,0,1,810001,856775,1.49,Y,N,3167
108,2410057467,09-05-2013 01:08,Y,1,0,1,810001,911655,1.19,Y,N,3175
108,4127102488,09-05-2013 01:10,Y,1,0,3,860001,19996,3.49,Y,N,807
108,7078400628,09-05-2013 01:10,Y,1,0,2.49,860001,34329,3.09,Y,N,4478
108,4127101913,09-05-2013 01:10,Y,1,0,3,860001,922913,3.49,Y,N,807
108,1630016568,09-05-2013 01:10,N,1,0,3.59,860001,19989,3.59,N,N,705
108,3700081463,09-05-2013 01:10,Y,1,0,6.99,860001,889292,9.99,Y,N,674
108,7078400620,09-05-2013 01:11,Y,1,0,2.59,820002,34331,3.09,Y,N,762
108,1450050703,09-05-2013 01:11,Y,2,0,4.18,820002,11655,4.98,Y,N,420
108,7251000824,09-05-2013 01:11,N,1,0,4.19,820002,14994,4.19,N,N,734
108,7078404446,09-05-2013 01:11,Y,2,0,4,820002,827713,4.38,Y,N,429
108,5200013461,09-05-2013 01:11,Y,1,0,1,820002,838437,1.49,Y,N,1307
108,5200013462,09-05-2013 01:14,Y,1,0,1,810002,838436,1.49,Y,N,1307
108,7078415060,09-05-2013 01:24,Y,1,0,3.99,850001,28727,5.49,Y,N,1214
108,7078400600,09-05-2013 01:24,N,1,0,1.13,850001,34318,1.13,N,N,761
108,7078400344,09-05-2013 01:24,Y,1,0,2.5,850001,444007,2.99,Y,N,3161
108,3800076552,09-05-2013 01:24,Y,1,0,2.5,850001,888540,3.69,Y,N,3146
108,4400002795,09-05-2013 01:24,Y,1,0,3,850001,841300,3.79,Y,N,3170
108,3800026066,09-05-2013 01:24,N,1,0,3.69,850001,13076,3.69,N,N,441
108,7078415240,09-05-2013 01:24,Y,1,0,2.99,850001,28222,3.29,Y,N,3489
108,3800076546,09-05-2013 01:24,Y,1,0,2.5,850001,888539,3.69,Y,N,3146
108,2073542095,09-05-2013 02:03,Y,1,0,3.33,830003,13345,5.49,Y,N,459
108,2073511020,09-05-2013 02:03,Y,1,0,3.33,830003,531027,5.49,Y,N,459
108,2073511024,09-05-2013 02:03,Y,1,0,3.34,830003,531846,5.49,Y,N,459
108,28847500000,09-05-2013 02:03,Y,0,1.2607,3.14,830003,479553,4.4,Y,N,3418
108,980089500,09-05-2013 02:03,Y,1,0,3.99,830003,20372,4.49,Y,N,3542
108,1410008560,09-05-2013 02:03,Y,1,0,2,830003,50362,2.49,Y,N,3175
108,5200033877,09-05-2013 02:03,Y,1,0,1,860003,15702,1.49,Y,N,1307
108,3800084496,09-05-2013 02:34,Y,1,0,1.67,810003,890718,1.99,Y,N,1050
108,7142120445,09-05-2013 02:35,Y,1,0,2,840001,923355,2.69,Y,N,487
108,2840008761,09-05-2013 02:35,N,1,0,0.5,840001,581522,0.5,N,N,1044
108,1600026164,09-05-2013 02:57,N,1,0,3.79,820003,442437,3.79,N,N,3144
108,7940055020,09-05-2013 02:57,N,1,0,4.99,820003,71407,4.99,N,N,922
108,1600014345,09-05-2013 02:57,N,2,0,7.58,820003,24990,7.58,N,N,3142
108,31254742735,09-05-2013 02:57,Y,1,0,4.99,820003,72926,5.79,Y,N,2620
108,74752520032,09-05-2013 03:21,Y,1,0,1.09,840002,193994,1.29,Y,N,1215
108,2113150907,09-05-2013 03:41,Y,1,0,2,830004,847150,2.99,Y,N,433
108,2113150908,09-05-2013 03:41,Y,2,0,4,830004,847151,5.98,Y,N,433
108,2113150111,09-05-2013 03:41,Y,3,0,6,830004,533234,8.97,Y,N,484
108,1780015127,09-05-2013 03:56,N,1,0,0.89,810004,891273,0.89,N,N,684
108,1500007364,09-05-2013 03:56,Y,1,0,1.12,810004,826600,1.29,Y,N,526
108,1780014597,09-05-2013 03:56,N,1,0,0.89,810004,829751,0.89,N,N,684
108,1500007364,09-05-2013 03:56,Y,1,0,1.11,810004,826600,1.29,Y,N,526
108,1780003388,09-05-2013 03:56,N,1,0,6.99,810004,25922,6.99,N,N,689
108,5220000795,09-05-2013 03:56,N,3,0,3,810004,26378,3,N,N,526
108,7047000664,09-05-2013 04:59,N,1,0,0.79,810005,19861,0.79,N,N,772
108,7078426946,09-05-2013 05:28,Y,1,0,1.5,130002,23774,1.69,Y,N,3460
108,7800001746,09-05-2013 05:28,N,1,0,-2.56,130002,32796,2.19,Y,N,1245
108,7800001746,09-05-2013 05:28,Y,4,0,7.56,130002,32796,8.76,Y,N,1245
108,7575543000,09-05-2013 05:51,N,2,0,7.98,130003,60034,7.98,N,N,1933
108,7047000650,09-05-2013 05:51,N,2,0,1.58,130003,16401,1.58,N,N,772
108,1122505937,09-05-2013 05:51,N,1,0,2.39,130003,60097,2.39,N,N,1922
108,7027223202,09-05-2013 05:51,Y,1,0,2,130003,826392,2.79,Y,N,804
108,7880011396,09-05-2013 05:51,Y,1,0,1,130003,55514,1.79,Y,N,754
108,7880011014,09-05-2013 05:51,N,1,0,3.79,130003,55540,3.79,N,N,762
108,2430004130,09-05-2013 05:55,N,1,0,1.79,130005,42695,1.79,N,N,3149
108,7078451783,09-05-2013 05:55,Y,1,0,1.25,130005,25983,1.39,Y,N,673
108,7078451602,09-05-2013 05:55,N,1,0,3.29,130005,26471,3.29,N,N,683
108,61126981899,09-05-2013 06:05,N,1,0,2.99,130006,33173,2.99,N,N,1296
108,7000089463,09-05-2013 06:14,N,1,0,2,820005,131514,2,N,N,2102
108,61029037819,09-05-2013 06:14,N,1,0,4.69,820005,917211,4.69,N,N,2102
108,2898956912,09-05-2013 06:17,N,1,0,6.99,820006,847605,6.99,N,N,503
108,1552112312,09-05-2013 06:17,N,1,0,3.99,820006,545916,3.99,N,N,749
108,6843738971,09-05-2013 06:25,N,1,0,3.99,830008,812906,3.99,N,N,3217
108,7000096854,09-05-2013 06:25,N,1,0,0.99,830008,133822,0.99,N,N,2102
108,7000083985,09-05-2013 06:25,N,1,0,0.99,830008,130022,0.99,N,N,2102
108,7000083936,09-05-2013 06:25,N,1,0,0.99,830008,130007,0.99,N,N,2102
108,72047343056,09-05-2013 06:25,N,1,0,0.99,830008,923221,0.99,N,N,2102
108,2410074022,09-05-2013 06:26,Y,1,0,4.99,860005,42002,5.99,Y,N,3180
108,2363748325,09-05-2013 06:26,N,1,0,4.99,810007,44309,4.99,N,N,3413
108,2430004130,09-05-2013 06:27,N,1,0,1.79,850003,42695,1.79,N,N,3149
108,2700041902,09-05-2013 06:27,Y,1,0,1,850003,808406,1.19,Y,N,153
108,2840008292,09-05-2013 06:27,Y,1,0,3,840004,39401,3.49,Y,N,1062
108,7056097413,09-05-2013 06:27,Y,1,0,1.25,840004,825763,1.79,Y,N,415
108,7078402211,09-05-2013 06:32,Y,2,0,1.34,830009,15416,1.5,Y,N,772
108,4126228452,09-05-2013 06:32,N,2,0,6.58,830009,55647,6.58,N,N,1061
108,1480000010,09-05-2013 06:32,Y,1,0,2,830009,15169,2.69,Y,N,43
108,4126228452,09-05-2013 06:32,Y,2,0,0,830009,55647,6.58,Y,N,1061
108,5000057841,09-05-2013 06:35,Y,2,0,1.2,860006,26434,1.4,Y,N,684
108,2310000158,09-05-2013 06:35,Y,1,0,1.67,860006,218957,1.99,Y,N,692
108,2310032784,09-05-2013 06:35,Y,1,0,1.66,860006,27725,1.99,Y,N,693
108,5000057845,09-05-2013 06:35,Y,2,0,1.2,860006,26612,1.4,Y,N,684
108,5000057935,09-05-2013 06:35,Y,2,0,1.2,860006,218324,1.4,Y,N,684
108,5000058004,09-05-2013 06:35,Y,2,0,1.2,860006,809033,1.4,Y,N,684
108,5849670123,09-05-2013 06:35,Y,1,0,1.67,860006,18492,1.99,Y,N,693
108,5849672304,09-05-2013 06:35,Y,1,0,1.67,860006,18488,1.99,Y,N,693
108,5000057843,09-05-2013 06:35,Y,3,0,1.8,860006,26458,2.1,Y,N,684
108,1200037401,09-05-2013 06:36,Y,2,0,4,850004,840898,5.58,Y,N,1296
108,5200032016,09-05-2013 06:37,Y,1,0,1,840005,15701,1.49,Y,N,1307
108,1200037401,09-05-2013 06:37,Y,2,0,4,840005,840898,5.58,Y,N,1296
108,7078451783,09-05-2013 06:38,Y,2,0,2.5,830010,25983,2.78,Y,N,673
108,7078448000,09-05-2013 06:42,Y,2,0,5,830012,24455,5.98,Y,N,216
108,7078447946,09-05-2013 06:42,Y,1,0,2.5,830012,912969,2.99,Y,N,216
108,7078447948,09-05-2013 06:42,Y,2,0,5,830012,912970,5.98,Y,N,216
108,3663200260,09-05-2013 06:45,Y,1,0,2.5,850005,15984,2.99,Y,N,773
108,3663203733,09-05-2013 06:45,N,1,0,1.19,850005,890615,1.19,N,N,778
108,7047000655,09-05-2013 06:45,N,1,0,0.79,850005,16402,0.79,N,N,772
108,3663203273,09-05-2013 06:45,N,1,0,5.79,850005,890610,5.79,N,N,780
108,7078402213,09-05-2013 06:45,Y,1,0,0.67,850005,15410,0.75,Y,N,772
108,3663202187,09-05-2013 06:45,Y,1,0,2,850005,223140,2.59,Y,N,771
108,5000032275,09-05-2013 06:48,N,1,0,3.99,870002,15900,3.99,N,N,807
108,5844977700,09-05-2013 06:48,Y,2,0,9.38,870002,31784,9.98,Y,N,285
108,72225210200,09-05-2013 06:49,Y,2,0,2,810009,66250,2.38,Y,N,2677
108,1122558131,09-05-2013 06:49,N,8,0,10.32,860009,541582,10.32,N,N,667
108,4900004523,09-05-2013 06:50,Y,2,0,2,840006,36247,2.38,Y,N,1307
108,4300002825,09-05-2013 06:54,Y,1,0,2,830014,28197,2.99,Y,N,3486
108,7078400500,09-05-2013 06:54,N,1,0,2.69,830014,14896,2.69,N,N,711
108,4300002822,09-05-2013 06:54,Y,1,0,2,830014,28198,2.99,Y,N,3486
108,7403006660,09-05-2013 06:54,N,1,0,7.99,830014,20117,7.99,N,N,721
108,2430004431,09-05-2013 06:54,N,1,0,1.99,830014,812740,1.99,N,N,3151
108,1600035510,09-05-2013 06:54,N,1,0,2.99,830014,24700,2.99,N,N,3140
108,7756713225,09-05-2013 06:59,Y,1,0,3.5,820007,206053,4.79,Y,N,454
108,4850002151,09-05-2013 06:59,Y,1,0,3,820007,891007,3.99,Y,N,704
108,7880011396,09-05-2013 07:00,Y,1,0,1,860011,55514,1.79,Y,N,754
108,7078433612,09-05-2013 07:00,N,1,0,6.99,810010,892655,6.99,N,N,3439
108,7078433600,09-05-2013 07:00,Y,1,0,0,810010,892648,6.99,Y,N,3439
108,7078447238,09-05-2013 07:00,Y,2,0,5.98,810010,24471,6.58,Y,N,133
108,7660666889,09-05-2013 07:00,Y,4,0,5.96,810010,839000,9.16,Y,N,283
108,7078415054,09-05-2013 07:00,Y,1,0,2.5,810010,28730,3.69,Y,N,1214
108,7575531306,09-05-2013 07:00,Y,1,0,0.49,810010,60200,1.29,Y,N,1933
108,7078425306,09-05-2013 07:00,N,1,0,2.79,810010,824558,2.79,N,N,2717
108,7078425306,09-05-2013 07:00,Y,1,0,0,810010,824558,2.79,Y,N,2717
108,7078450714,09-05-2013 07:02,N,2,0,4.38,830015,20736,4.38,N,N,3247
108,7373100830,09-05-2013 07:02,N,1,0,3.79,830015,446699,3.79,N,N,3203
108,7078447202,09-05-2013 07:02,Y,2,0,4,830015,24719,5.98,Y,N,133
108,61029033218,09-05-2013 07:03,N,1,0,2.99,820008,836717,2.99,N,N,2102
108,7142901183,09-05-2013 07:05,Y,1,0,2.29,860012,907223,2.49,Y,N,2727
108,7078400616,09-05-2013 07:05,N,1,0,1.99,860012,34353,1.99,N,N,4478
108,7078402383,09-05-2013 07:05,Y,1,0,0.67,860012,15025,0.75,Y,N,772
108,5480034447,09-05-2013 07:05,Y,1,0,2,860012,23150,2.49,Y,N,2727
108,8000000672,09-05-2013 07:05,Y,2,0,3,860012,23711,4.38,Y,N,2795
108,7575543619,09-05-2013 07:12,Y,1,0,0.37,810011,69015,0.49,Y,N,1934
108,6343589064,09-05-2013 07:12,Y,1,0,1.34,810011,17655,1.99,Y,N,668
108,1370081240,09-05-2013 07:12,N,1,0,3.99,810011,18483,3.99,N,N,504
108,6343589064,09-05-2013 07:12,Y,1,0,1.33,810011,17655,1.99,Y,N,668
108,28092700000,09-05-2013 07:12,Y,0,0.0493,0.37,810011,801782,0.37,N,N,3415
108,7078401086,09-05-2013 07:13,Y,2,0,5,860013,15426,6.98,Y,N,719
108,4138309022,09-05-2013 07:13,N,1,0,4.59,860013,15045,4.59,N,N,758
108,7078402610,09-05-2013 07:13,N,1,0,4.79,860013,19946,4.79,N,N,802
108,1380014252,09-05-2013 07:14,N,1,0,3.49,130008,12098,3.49,N,N,483
108,1200000129,09-05-2013 07:14,N,1,0,1.79,830017,40053,1.79,N,N,1265
108,1600015975,09-05-2013 07:14,Y,1,0,2,850007,23881,2.19,Y,N,2747
108,1600027527,09-05-2013 07:14,N,1,0,3.99,830017,25136,3.99,N,N,129
108,7078402818,09-05-2013 07:15,N,1,0,2.65,130009,49889,2.65,N,N,749
108,2800021168,09-05-2013 07:15,Y,1,0,3,810012,890190,3.99,Y,N,3217
108,7078400628,09-05-2013 07:15,Y,1,0,2.49,130009,34329,3.09,Y,N,4478
108,7131900055,09-05-2013 07:15,N,1,0,3.09,810012,52566,3.09,N,N,3190
108,60926323004,09-05-2013 07:15,Y,1,0,2.99,130009,912719,3.99,Y,N,454
108,2430004431,09-05-2013 07:16,N,1,0,1.99,130010,812740,1.99,N,N,3151
108,7403006628,09-05-2013 07:22,N,1,0,5.99,130012,19810,5.99,N,N,721
108,1360000092,09-05-2013 07:22,Y,1,0,7.49,130012,25389,7.69,Y,N,184
108,1122511303,09-05-2013 07:22,Y,1,0,6,130012,920091,7.99,Y,N,3438
108,3800075859,09-05-2013 07:22,N,1,0,5.99,130012,886680,5.99,N,N,449
108,89470001015,09-05-2013 07:22,N,4,0,5.16,130012,19615,5.16,N,N,778
108,2529360101,09-05-2013 07:22,N,2,0,6.98,130012,19865,6.98,N,N,764
108,76211189531,09-05-2013 07:22,Y,1,0,9.99,130012,846211,10.99,Y,N,3438
108,1122510968,09-05-2013 07:22,Y,1,0,6,130012,857303,7.99,Y,N,3438
108,7078451784,09-05-2013 07:22,Y,1,0,7.99,130012,26551,8.99,Y,N,670
108,89470001026,09-05-2013 07:24,N,1,0,5.79,130013,832106,5.79,N,N,780
108,2363715690,09-05-2013 07:24,Y,1,0,2.5,130013,847578,2.99,Y,N,3422
108,5000058210,09-05-2013 07:24,Y,2,0,1,130013,848943,1.2,Y,N,684
108,3700084981,09-05-2013 07:24,N,1,0,10.99,130013,883575,10.99,N,N,563
108,1200001643,09-05-2013 07:24,Y,1,0,2,810013,39780,2.79,Y,N,1296
108,7078452170,09-05-2013 07:24,N,1,0,1.79,130013,25849,1.79,N,N,668
108,7265540502,09-05-2013 07:24,Y,1,0,2.5,130013,12779,3.99,Y,N,483
108,7265540504,09-05-2013 07:24,Y,1,0,2.5,130013,12781,3.99,Y,N,483
108,2310000158,09-05-2013 07:24,Y,1,0,1.67,130013,218957,1.99,Y,N,692
108,3997800330,09-05-2013 07:24,N,1,0,3.99,130013,31283,3.99,N,N,284
108,3400019528,09-05-2013 07:24,N,1,0,2.49,130013,769372,2.49,N,N,3214
108,1780014445,09-05-2013 07:24,Y,1,0,1.79,130013,808971,1.99,Y,N,650
108,1780010965,09-05-2013 07:24,Y,1,0,1.79,130013,27860,1.99,Y,N,650
108,5000010042,09-05-2013 07:24,Y,2,0,1,130013,26135,1.2,Y,N,684
108,7078415020,09-05-2013 07:24,Y,1,0,1,130013,28728,1.19,Y,N,1218
108,7084701247,09-05-2013 07:26,Y,2,0,3.5,870003,888542,4.98,Y,N,1296
108,5200032481,09-05-2013 07:26,N,1,0,1.79,870003,39946,1.79,N,N,1307
108,67852301051,09-05-2013 07:26,N,1,0,5.99,130014,31375,5.99,N,N,291
108,5844977903,09-05-2013 07:26,N,1,0,4.99,130014,29244,4.99,N,N,285
108,71514111357,09-05-2013 07:26,N,1,0,4.49,130014,49887,4.49,N,N,748
108,7575543588,09-05-2013 07:26,N,2,0,2.18,870003,68141,2.18,N,N,1934
108,7575543608,09-05-2013 07:26,Y,1,0,0.49,870003,69610,0.65,Y,N,1934
108,74236526435,09-05-2013 07:26,N,1,0,4.99,130014,19937,4.99,N,N,757
108,7575543619,09-05-2013 07:26,Y,1,0,0.37,870003,69015,0.49,Y,N,1934
108,4400003229,09-05-2013 07:30,Y,1,0,3,130016,847142,3.79,Y,N,3176
108,4400001573,09-05-2013 07:30,Y,2,0,5,130016,49607,7.98,Y,N,3176
108,2840003633,09-05-2013 07:30,Y,1,0,2.5,130016,259609,4.29,Y,N,1070
108,1254668506,09-05-2013 07:30,Y,3,0,3,130016,851566,5.37,Y,N,3226
108,1200028629,09-05-2013 07:30,Y,2,0,11.98,130016,846694,15.38,Y,N,1299
108,2200012310,09-05-2013 07:30,Y,1,0,2.5,130016,907368,2.99,Y,N,3237
108,7179857155,09-05-2013 07:30,N,1,0,3.49,130016,903165,3.49,N,N,2408
108,4400003428,09-05-2013 07:30,Y,1,0,3.99,130016,916832,6.49,Y,N,3180
108,4100021084,09-05-2013 07:30,N,1,0,2.99,130016,28373,2.99,N,N,3429
108,7231000187,09-05-2013 07:30,N,1,0,3.79,130016,47447,3.79,N,N,3428
108,7173600042,09-05-2013 07:30,Y,1,0,3.51,130016,72156,4.39,Y,N,1794
108,4400088032,09-05-2013 07:30,Y,1,0,3.99,130016,49816,6.49,Y,N,3166
108,1070002660,09-05-2013 07:30,Y,1,0,2.5,130016,22451,3.29,Y,N,3237
108,1070053104,09-05-2013 07:30,Y,2,0,5,130016,22453,6.58,Y,N,3241
108,7231000167,09-05-2013 07:30,N,1,0,3.79,130016,47320,3.79,N,N,3428
108,6233882797,09-05-2013 07:30,N,1,0,3.99,130016,28059,3.99,N,N,600
108,3010001610,09-05-2013 07:30,Y,1,0,2.5,130016,41680,3.69,Y,N,3156
108,3010003319,09-05-2013 07:30,Y,1,0,2.5,130016,41693,3.69,Y,N,3156
108,7231000145,09-05-2013 07:30,N,1,0,3.79,130016,47281,3.79,N,N,3428
108,2840005160,09-05-2013 07:30,Y,1,0,2.5,130016,39285,4.29,Y,N,1070
108,7231000130,09-05-2013 07:30,N,1,0,3.79,130016,47319,3.79,N,N,3428
108,3010005801,09-05-2013 07:30,Y,2,0,5,130016,41696,7.38,Y,N,3156
108,4400003231,09-05-2013 07:30,Y,1,0,3,130016,847144,3.79,Y,N,3176
108,3030001702,09-05-2013 07:32,Y,2,0,2,840008,23859,2.58,Y,N,2759
108,78978546580,09-05-2013 07:41,N,1,0,5.99,130017,900733,5.99,N,N,453
108,1480000183,09-05-2013 07:41,N,1,0,3.49,130017,916105,3.49,N,N,42
108,7131900030,09-05-2013 07:41,Y,1,0,2.5,830018,52551,2.99,Y,N,3191
108,3663202604,09-05-2013 07:41,N,1,0,2.79,130017,19609,2.79,N,N,777
108,1552112111,09-05-2013 07:41,N,1,0,2.69,830018,545854,2.69,N,N,749
108,2100004255,09-05-2013 07:43,N,1,0,2.99,130018,912861,2.99,N,N,2781
108,2100004329,09-05-2013 07:43,N,2,0,5.98,130018,912863,5.98,N,N,2781
108,1200001756,09-05-2013 07:43,Y,1,0,5.99,130018,39792,6.99,Y,N,1295
108,4127102505,09-05-2013 07:43,Y,1,0,3,840009,19767,3.49,Y,N,807
108,7066203043,09-05-2013 07:43,Y,3,0,1.5,130018,421835,2.67,Y,N,2721
108,3760021583,09-05-2013 07:43,N,1,0,2.99,130018,16960,2.99,N,N,2783
108,1200080386,09-05-2013 07:43,Y,2,0,2,130018,588743,3.38,Y,N,1231
108,3120000226,09-05-2013 07:43,N,1,0,3.99,840009,28668,3.99,N,N,3489
108,2410051445,09-05-2013 07:43,Y,1,0,3.5,130018,41971,3.79,Y,N,3176
108,2410044068,09-05-2013 07:43,Y,1,0,3.5,130018,41881,3.79,Y,N,3175
108,1200080008,09-05-2013 07:43,Y,2,0,2,130018,588968,3.38,Y,N,1230
108,7572000004,09-05-2013 07:45,Y,2,0,2,130019,28188,2.58,Y,N,1218
108,38137003405,09-05-2013 07:45,N,1,0,6.49,130019,71515,6.49,N,N,1012
108,75703733745,09-05-2013 07:45,N,2,0,13.98,130019,25596,13.98,N,N,619
108,2840019079,09-05-2013 07:46,N,1,0,2,830019,916859,2,N,N,1064
108,2700041901,09-05-2013 07:46,Y,1,0,1,830019,808405,1.19,Y,N,153
